tab 	locations														
age	age_high	age_low	age_unit	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w				
https://doi.org/10.1016/j.gr.2023.08.004	I1938-3A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-3A	I1938-3A	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-4A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-4A	I1938-4A	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-5a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-5a	I1938-5a	1.08E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-6a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-6a	I1938-6a	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-7a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-7a	I1938-7a	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-8a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-8a	I1938-8a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-9a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-9a	I1938-9a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-1A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-1A	I1939-1A	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-3a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-3a	I1939-3a	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-4a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-4a	I1939-4a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-5a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-5a	I1939-5a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-6a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-6a	I1939-6a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-7a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-7a	I1939-7a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-8a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-8a	I1939-8a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-2a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-2a	I1939-2a	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I222-1-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	I222-1	I222-1	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i222-2-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-2	i222-2	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i222-3-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-3	i222-3	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i222-4-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-4	i222-4	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i222-5-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-5	i222-5	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i222-6-LP-DIR-T	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-6	i222-6	1.15E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-2B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1936-2B	I1936-2B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-6B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1936-6B	I1936-6B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	1936-8b-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	1936-8b	1936-8b	1.16E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1937-2B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-2B	I1937-2B	9.08E-06	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1937-4B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-4B	I1937-4B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1937-6z-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-6z	I1937-6z	5.89E-06	g						
https://doi.org/10.1016/j.gr.2023.08.004	i1937-8b-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	i1937-8b	i1937-8b	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-3B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-3B	I1938-3B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-4B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-4B	I1938-4B	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	i1938-5b-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	i1938-5b	i1938-5b	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-6b-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-6b	I1938-6b	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-8B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-8B	I1938-8B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1938-9B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-9B	I1938-9B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-1B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-1B	I1939-1B	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-3B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-3B	I1939-3B	1.08E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-4B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-4B	I1939-4B	1.16E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-6B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-6B	I1939-6B	8.05E-06	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-8b-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-8b	I1939-8b	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1939-2B-LP-DIR-AF	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-2B	I1939-2B	1.13E-05	g						
>>>>>>>>>>															
tab 	sites														
age	age_unit	citations	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site				
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Intrusive:Igneous	Sill		26.116	Diabase	Gwalior	78.079	LP-DIR-T	I1936				
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Intrusive:Igneous	Sill		26.232	Diabase	Gwalior	78.134	LP-DIR-T	I1937				
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Intrusive:Igneous	Sill		26.265	Diabase	Gwalior	78.232	LP-DIR-T	I1938				
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Intrusive:Igneous	Sill		26.268	Diabase	Gwalior	78.228	LP-DIR-T	I1939				
